region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandNode4,is.ghost.share.relative
EU-15,root,AgroForestLand_Gironde,AgroForest_NonPasture_Gironde,CropLand_Gironde,biomass_grass_Gironde,1
EU-15,root,AgroForestLand_GuadalqR,AgroForest_NonPasture_GuadalqR,CropLand_GuadalqR,biomass_grass_GuadalqR,1
EU-15,root,AgroForestLand_GuadianaR,AgroForest_NonPasture_GuadianaR,CropLand_GuadianaR,biomass_grass_GuadianaR,1
EU-15,root,AgroForestLand_IberiaCst,AgroForest_NonPasture_IberiaCst,CropLand_IberiaCst,biomass_grass_IberiaCst,1
EU-15,root,AgroForestLand_Ireland,AgroForest_NonPasture_Ireland,CropLand_Ireland,biomass_grass_Ireland,1
EU-15,root,AgroForestLand_ItalyCstE,AgroForest_NonPasture_ItalyCstE,CropLand_ItalyCstE,biomass_grass_ItalyCstE,1
EU-15,root,AgroForestLand_ItalyCstW,AgroForest_NonPasture_ItalyCstW,CropLand_ItalyCstW,biomass_grass_ItalyCstW,1
EU-15,root,AgroForestLand_LoireR,AgroForest_NonPasture_LoireR,CropLand_LoireR,biomass_grass_LoireR,1
EU-15,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,CropLand_MeditE,biomass_grass_MeditE,1
EU-15,root,AgroForestLand_MeditIsl,AgroForest_NonPasture_MeditIsl,CropLand_MeditIsl,biomass_grass_MeditIsl,1
EU-15,root,AgroForestLand_NevaR,AgroForest_NonPasture_NevaR,CropLand_NevaR,biomass_grass_NevaR,1
EU-15,root,AgroForestLand_OderR,AgroForest_NonPasture_OderR,CropLand_OderR,biomass_grass_OderR,1
EU-15,root,AgroForestLand_PoR,AgroForest_NonPasture_PoR,CropLand_PoR,biomass_grass_PoR,1
EU-15,root,AgroForestLand_RhineR,AgroForest_NonPasture_RhineR,CropLand_RhineR,biomass_grass_RhineR,1
EU-15,root,AgroForestLand_RhoneR,AgroForest_NonPasture_RhoneR,CropLand_RhoneR,biomass_grass_RhoneR,1
EU-15,root,AgroForestLand_ScheldtR,AgroForest_NonPasture_ScheldtR,CropLand_ScheldtR,biomass_grass_ScheldtR,1
EU-15,root,AgroForestLand_Scotland,AgroForest_NonPasture_Scotland,CropLand_Scotland,biomass_grass_Scotland,1
EU-15,root,AgroForestLand_SeineR,AgroForest_NonPasture_SeineR,CropLand_SeineR,biomass_grass_SeineR,1
EU-15,root,AgroForestLand_SpainCstSE,AgroForest_NonPasture_SpainCstSE,CropLand_SpainCstSE,biomass_grass_SpainCstSE,1
EU-15,root,AgroForestLand_Sweden,AgroForest_NonPasture_Sweden,CropLand_Sweden,biomass_grass_Sweden,1
EU-15,root,AgroForestLand_TagusR,AgroForest_NonPasture_TagusR,CropLand_TagusR,biomass_grass_TagusR,1
EU-15,root,AgroForestLand_TiberR,AgroForest_NonPasture_TiberR,CropLand_TiberR,biomass_grass_TiberR,1
Europe_Eastern,root,AgroForestLand_BlackSeaN,AgroForest_NonPasture_BlackSeaN,CropLand_BlackSeaN,biomass_grass_BlackSeaN,1
Europe_Eastern,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,CropLand_DanubeR,biomass_grass_DanubeR,1
Europe_Eastern,root,AgroForestLand_DaugavaR,AgroForest_NonPasture_DaugavaR,CropLand_DaugavaR,biomass_grass_DaugavaR,1
Europe_Eastern,root,AgroForestLand_DnieperR,AgroForest_NonPasture_DnieperR,CropLand_DnieperR,biomass_grass_DnieperR,1
Europe_Eastern,root,AgroForestLand_DniesterR,AgroForest_NonPasture_DniesterR,CropLand_DniesterR,biomass_grass_DniesterR,1
Europe_Eastern,root,AgroForestLand_DonR,AgroForest_NonPasture_DonR,CropLand_DonR,biomass_grass_DonR,1
Europe_Eastern,root,AgroForestLand_NemanR,AgroForest_NonPasture_NemanR,CropLand_NemanR,biomass_grass_NemanR,1
Europe_Eastern,root,AgroForestLand_NevaR,AgroForest_NonPasture_NevaR,CropLand_NevaR,biomass_grass_NevaR,1
Europe_Eastern,root,AgroForestLand_WislaR,AgroForest_NonPasture_WislaR,CropLand_WislaR,biomass_grass_WislaR,1
Europe_Non_EU,root,AgroForestLand_AdrBlkSea,AgroForest_NonPasture_AdrBlkSea,CropLand_AdrBlkSea,biomass_grass_AdrBlkSea,1
Europe_Non_EU,root,AgroForestLand_BlackSeaS,AgroForest_NonPasture_BlackSeaS,CropLand_BlackSeaS,biomass_grass_BlackSeaS,1
Europe_Non_EU,root,AgroForestLand_CaspianSW,AgroForest_NonPasture_CaspianSW,CropLand_CaspianSW,biomass_grass_CaspianSW,1
Europe_Non_EU,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,CropLand_DanubeR,biomass_grass_DanubeR,1
Europe_Non_EU,root,AgroForestLand_EJrdnSyr,AgroForest_NonPasture_EJrdnSyr,CropLand_EJrdnSyr,biomass_grass_EJrdnSyr,1
Europe_Non_EU,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,CropLand_MeditE,biomass_grass_MeditE,1
Europe_Non_EU,root,AgroForestLand_TigrEuphR,AgroForest_NonPasture_TigrEuphR,CropLand_TigrEuphR,biomass_grass_TigrEuphR,1
European Free Trade Association,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,CropLand_DanubeR,biomass_grass_DanubeR,1
European Free Trade Association,root,AgroForestLand_PoR,AgroForest_NonPasture_PoR,CropLand_PoR,biomass_grass_PoR,1
European Free Trade Association,root,AgroForestLand_RhineR,AgroForest_NonPasture_RhineR,CropLand_RhineR,biomass_grass_RhineR,1
European Free Trade Association,root,AgroForestLand_RhoneR,AgroForest_NonPasture_RhoneR,CropLand_RhoneR,biomass_grass_RhoneR,1
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,CropLand_ScndnvN,biomass_grass_ScndnvN,1
European Free Trade Association,root,AgroForestLand_Sweden,AgroForest_NonPasture_Sweden,CropLand_Sweden,biomass_grass_Sweden,1
India,root,AgroForestLand_BengalBay,AgroForest_NonPasture_BengalBay,CropLand_BengalBay,biomass_grass_BengalBay,1
India,root,AgroForestLand_BengalW,AgroForest_NonPasture_BengalW,CropLand_BengalW,biomass_grass_BengalW,1
India,root,AgroForestLand_BrahmaniR,AgroForest_NonPasture_BrahmaniR,CropLand_BrahmaniR,biomass_grass_BrahmaniR,1
